π=50;Devices and cameras=400
1;"About Winamp Web Interface" intitle:"Winamp Web Interface"
2;"Copyright (c) Tektronix, Inc." "printer status"
3;"LANCOM DSL/*-* Office *" "Entry Page"
4;"OK logout" inurl:vb.htm?logout=1
5;"Phaser 6250" "Printer Neighborhood" "XEROX CORPORATION"
6;"Phaser 8200" "+√¶“+‚Ú¬Ï+·+√Ú¿⁄+¬TÈ Xerox" "refresh" " Email Alerts"
7;"Phaser+√¶“+‚Ú¬Ï+·+√Ú¿⁄+¬TÓ 740 Color Printer" "printer named: "
8;"Phaser+√¶“+‚Ú¬Ï+·+√Ú¿⁄+¬TÓ 840 Color Printer" "Current Status" "printer named:"
9;"Please use Netscape 2.0 or enhance !!" -site:dlink.com -site:ovislink.com.tw
10;"RICOH Network Printer D model-Restore Factory"
11;"SnapGear Management Console" "Welcome to the SnapGear Unit!" -pdf
12;"Starting SiteZAP 6.0"
13;"Summary View of Sensors" | "sensorProbe8 v *" | "
14;"This page is for configuring Samsung Network Printer" | printerDetails.htm
15;"To view the Web interface of the SpeedTouch, Java
16;"Webthru User Login"
17;"Welcome to the CyberGuard unit!"
18;"display printer status" intitle:"Home"
19;"intitle:Cisco Systems, Inc. VPN 3000 Concentrator"
20;"please visit" intitle:"i-Catcher Console" Copyright "iCode Systems"
21;"powered by webcamXP" "Pro|Broadcast"
22;( intitle:"PacketShaper Login")|(intitle:"PacketShaper Customer Login")
23;("Fiery WebTools" inurl:index2.html) | "WebTools enable * * observe, *, * * * flow * print jobs"
24;("port_255/home")|(inurl:"home?port=255")
25;(intext:"MOBOTIX M1" | intext:"MOBOTIX M10") intext:"Open Menu" Shift-Reload
26;(intitle:"VisionGS Webcam Software")|(intext:"Powered by VisionGS Webcam") -showthread.php -showpost.php -"Search Engine" -computersglobal.com -site:g
27;(intitle:(EyeSpyFX|OptiCamFX) "go to camera")|(inurl:servlet/DetectBrowser)
28;(inurl:webArch/mainFrame.cgi ) | (intitle:"web image monitor" -htm -solutions)
