�=50;passwords and usernames=400
1;!Host=*.* intext:enc_UserPassword=* ext:pcf
2;"AutoCreate=TRUE password=*"
3;"Powered By Elite Forum Version *.*"
4;"Powered by DUpaypal" -site:duware.com
5;"Powered by Duclassified" -site:duware.com "DUware All Rights reserved"
6;"Powered by Duclassified" -site:duware.com
7;"Powered by Dudirectory" -site:duware.com
8;"Powered by Link Department"
9;"Your password is * Remember this for later use"
10;"admin account info" filetype:log
11;"http://*:*@www" bob:bob
12;"index of" / lck
13;"index of/" "ws_ftp.ini" "parent directory"
14;"liveice configuration file" ext:cfg -site:sourceforge.net
15;"login: *" "password= *" filetype:xls
16;"parent directory" +proftpdpasswd
17;"powered by ducalendar" -site:duware.com
18;"powered by duclassmate" -site:duware.com
19;"powered by dudownload" -site:duware.com
20;"sets mode: +k"
21;"your password is" filetype:log
22;+intext:"webalizer" +intext:"Total Usernames" +intext:"Usage Statistics for"
23;LeapFTP intitle:"index.of./" sites.ini modified
24;enable password | secret "current configuration" -intext:the
25;ext:asa | ext:bak intext:uid intext:pwd -"uid..pwd" database | server | dsn
26;ext:inc "pwd=" "UID="
27;ext:php intext:"$dbms""$dbhost""$dbuser""$dbpasswd""$table_prefix""phpbb_installed"
28;ext:pwd inurl:(service | authors | administrators | users) "# -FrontPage-"
29;filetype:bak inurl:"htaccess|passwd|shadow|htusers"
30;filetype:cfg mrtg "target[*]" -sample -cvs -example
31;filetype:cfm "cfapplication name" password
32;filetype:conf inurl:psybnc.conf  "USER.PASS="
33;filetype:config config intext:appSettings "User ID"
34;filetype:dat "password.dat"
35;filetype:ini "FtpInBackground" (pass|passwd|password|pwd)
36;filetype:ini "SavedPasswords" (pass|passwd|password|pwd)
37;filetype:ini "[FFFTP]" (pass|passwd|password|pwd)
38;filetype:ini "pdo_mysql" (pass|passwd|password|pwd)
39;filetype:ini "precurio" (pass|passwd|password|pwd)
40;filetype:ini inurl:"serv-u.ini"
41;filetype:log "See `ipsec --copyright"
42;filetype:log inurl:"password.log"
43;filetype:reg reg +intext:"defaultusername" +intext:"defaultpassword"
44;filetype:reg reg +intext:"internet account manager"
45;filetype:sql "MySQL dump" (pass|password|passwd|pwd)
46;filetype:sql "PostgreSQL database dump" (pass|password|passwd|pwd)
47;filetype:sql "insert into" (pass|passwd|password)
48;filetype:sql "phpmyAdmin SQL Dump" (pass|password|passwd|pwd)
49;filetype:sql ("passwd values" | "password values" | "pass values" )
50;filetype:sql ("values * MD5" | "values * password" | "values * encrypt")
51;filetype:sql +"IDENTIFIED BY" -cvs
52;filetype:url +inurl:"ftp://"  +inurl:"@"
53;intext:"SteamUserPassphrase=" intext:"SteamAppUser=" -"username" -"user"
54;intext:"enable password 7"
55;intext:"enable secret 5 $"
56;intext:"powered by EZGuestbook"
57;intext:"powered by Web Wiz Journal"
58;intitle:"Index of" ".htpasswd" "htgroup"  -intitle:"dist" -apache -htpasswd.c
59;intitle:"Index of" ".htpasswd" htpasswd.bak
60;intitle:"Index of" .mysql_history
61;intitle:"Index of" passwords modified
62;intitle:"Index of" pwd.db
63;intitle:"Index of" sc_serv.conf sc_serv  content
64;intitle:"Index of" spwd.db passwd -pam.conf
65;intitle:"Index of..etc" passwd
66;intitle:"index of" intext:connect.inc
67;intitle:"index of" intext:globals.inc
68;intitle:"phpinfo()" +"mysql.default_password" +"Zend Scripting Language Engine"
69;intitle:index.of intext:"secring.skr"|"secring.pgp"|"secring.bak"
70;inurl:"/Application Data/Filezilla/*" OR inurl:"/AppData/Filezilla/*" filetype:xml
71;inurl:"GRC.DAT" intext:"password"
72;inurl:"Sites.dat"+"PASS="
73;inurl:"calendarscript/users.txt"
74;inurl:"editor/list.asp" | inurl:"database_editor.asp" | inurl:"login.asa" "are set"
75;inurl:"slapd.conf" intext:"credentials" -manpage -"Manual Page" -man: -sample
76;inurl:"slapd.conf" intext:"rootpw"  -manpage -"Manual Page" -man: -sample
77;inurl:"wvdial.conf" intext:"password"
78;inurl:-cfg intext:"enable password" 
79;inurl:config/databases.yml -trac -trunk -"Google Code" -source -repository
80;inurl:ftp "password" filetype:xls
81;inurl:php inurl:hlstats intext:"Server Username"
82;server-dbs "intitle:index of"
83;site:extremetracking.com inurl:"login="
84;[WFClient] Password= filetype:ica
85;allinurl: admin mdb
86;allinurl:auth_user_file.txt
87;eggdrop filetype:user user
88;ext:ini Version=4.0.0.4 password
89;ext:ini eudora.ini
90;ext:passwd -intext:the -sample -example
91;ext:txt inurl:unattend.txt
92;ext:yml database inurl:config
93;filetype:bak createobject sa
94;filetype:conf inurl:proftpd.conf -sample
95;filetype:conf oekakibbs
96;filetype:conf slapd.conf
97;filetype:dat inurl:Sites.dat
98;filetype:dat inurl:pass.dat
99;filetype:dat wand.dat
100;filetype:htpasswd htpasswd
101;filetype:inc dbconn
102;filetype:inc intext:mysql_connect
103;filetype:inc mysql_connect OR mysql_pconnect
104;filetype:inf sysprep
105;filetype:ini ServUDaemon
106;filetype:ini inurl:flashFXP.ini
107;filetype:ini wcx_ftp
108;filetype:ini ws_ftp pwd
109;filetype:ldb admin
110;filetype:log username putty
111;filetype:mdb inurl:users.mdb
112;filetype:mdb wwforum
113;filetype:netrc password
114;filetype:pass pass intext:userid
115;filetype:pem intext:private
116;filetype:php~ (pass|passwd|password|dbpass|db_pass|pwd)
117;filetype:properties inurl:db intext:password
118;filetype:pwd service
119;filetype:pwl pwl
120;filetype:reg reg +intext:ÃƒÂ¢Ã¢â€šÂ¬Ã‚ÂWINVNC3ÃƒÂ¢Ã¢â€šÂ¬Ã‚Â
121;filetype:reg reg HKEY_CURRENT_USER SSHHOSTKEYS
122;filetype:reg reg HKEY_CURRENT_USER username
123;filetype:sql password
124;filetype:xls username password email
125;index.of passlist
126;index.of perform.ini
127;index.of.etc
128;intitle:Index.of etc shadow
129;intitle:dupics inurl:(add.asp | default.asp | view.asp | voting.asp) -site:duware.com
130;intitle:index.of .bash_history
131;intitle:index.of .sh_history
132;intitle:index.of administrators.pwd
133;intitle:index.of config.php
134;intitle:index.of master.passwd
135;intitle:index.of passwd passwd.bak
136;intitle:index.of people.lst
137;intitle:index.of trillian.ini
138;intitle:rapidshare intext:login
139;inurl:/db/main.mdb
140;inurl:/wwwboard
141;inurl:/yabb/Members/Admin.dat
142;inurl:admin filetype:asp inurl:userlist
143;inurl:admin inurl:userlist
144;inurl:ccbill filetype:log
145;inurl:cgi-bin inurl:calendar.cfg
146;inurl:chap-secrets -cvs
147;inurl:config.php dbuname dbpass
148;inurl:filezilla.xml -cvs
149;inurl:lilo.conf filetype:conf password -tatercounter2000 -bootpwd -man
150;inurl:nuke filetype:sql
151;inurl:ospfd.conf intext:password -sample -test -tutorial -download
152;inurl:pap-secrets -cvs
153;inurl:passlist.txt
154;inurl:perform filetype:ini
155;inurl:perform.ini filetype:ini
156;inurl:root.asp?acs=anon
157;inurl:secring ext:skr | ext:pgp | ext:bak
158;inurl:server.cfg  rcon password
159;inurl:ventrilo_srv.ini adminpassword
160;inurl:vtund.conf intext:pass -cvs
161;inurl:web/frontend_dev.php -trunk
162;inurl:zebra.conf intext:password -sample -test -tutorial -download
163;signin filetype:url
164;wwwboard WebAdmin  inurl:passwd.txt wwwboard|webadmin
