�=50;Login pages=400
1;"4images Administration Control Panel"
2;"Emergisoft web applications are a part of our"
3;"Establishing a secure Integrated Lights Out session with" OR intitle:"Data Frame - Browser not HTTP 1.1 compatible" OR intitle:"HP Integrated Lights-
4;"HostingAccelerator" intitle:"login" +"Username" -"news" -demo
5;"IMail Server Web Messaging" intitle:login
6;"Login - Sun Cobalt RaQ"
7;"Login Name" Repository Webtop intitle:login
8;"Login to Usermin" inurl:20000
9;"Microsoft CRM : Unsupported Browser Version"
10;"OPENSRS Domain Management" inurl:manage.cgi
11;"Please authenticate yourself to get access to the management interface"
12;"Please login with admin pass" -"leak" -sourceforge
13;"Powered by DWMail" password intitle:dwmail
14;"Powered by Merak Mail Server Software" -.gov -.mil -.edu -site:merakmailserver.com -johnny.ihackstuff
15;"Powered by Midmart Messageboard" "Administrator Login"
16;"Powered by Monster Top List" MTL numrange:200-
17;"Powered by UebiMiau" -site:sourceforge.net
18;"Remote Supervisor Adapter II" inurl:userlogin_logo.ssi
19;"SquirrelMail version" "By the SquirrelMail Development Team"
20;"SurgeMAIL" inurl:/cgi/user.cgi ext:cgi
21;"SysCP - login"
22;"This is a restricted Access Server" "Javascript Not Enabled!"|"Messenger Express" -edu -ac
23;"This section is for Administrators only. If you are an administrator then please"
24;"VHCS Pro   ver" -demo
25;"VNC Desktop" inurl:5800
26;"Web-Based Management" "Please input password to login" -inurl:johnny.ihackstuff.com
27;"WebExplorer Server - Login" "Welcome to WebExplorer Server"
28;"WebSTAR Mail - Please Log In"
29;"You have requested access to a restricted area of our website. Please authenticate yourself to continue."
30;"You have requested to access the management functions"  -.edu
31;"bp blog admin" intitle:login | intitle:admin -site:johnny.ihackstuff.com
32;"iCONECT 4.1 :: Login"
33;"inspanel" intitle:"login" -"cannot" "Login ID" -site:inspediumsoft.com
34;"intitle:3300 Integrated Communications Platform" inurl:main.htm
35;"login prompt" inurl:GM.cgi
36;"pcANYWHERE EXPRESS Java Client"
37;"please log in"
38;"powered by CuteNews" "2003..2005 CutePHP"
39;"site info for" "Enter Admin Password"
40;"ttawlogin.cgi/?action="
41;(intitle:"Please login - Forums powered by UBB.threads")|(inurl:login.php "ubb")
42;(intitle:"Please login - Forums powered by WWWThreads")|(inurl:"wwwthreads/login.php")|(inurl:"wwwthreads/login.pl?Cat=")
43;(intitle:"SilkyMail by Cyrusoft International, Inc
44;(intitle:"WmSC e-Cart Administration")|(intitle:"WebMyStyle e-Cart Administration")
45;(intitle:"rymo  Login")|(intext:"Welcome to rymo") -family
46;(inurl:"ars/cgi-bin/arweb?O=0" | inurl:arweb.jsp)
47;+"Powered by INDEXU" inurl:(browse|top_rated|power
48;ASP.login_aspx "ASP.NET_SessionId"
49;Admin intitle:"eZ publish administration"
50;Login ("Powered by Jetbox One CMS ÃƒÂ¢Ã¢â‚¬Å¾Ã‚Â¢" | "Powered by Jetstream Ãƒâ€šÃ‚Â© *")
